TOP8c3411da	START
TOP8c3411da	attack_mode	0
TOP8c3411da	attack_kern	0
TOP8c3411da	benchmark	0
TOP8c3411da	stdout_flag	0
TOP8c3411da	bitmap_min	16
TOP8c3411da	bitmap_max	24
TOP8c3411da	debug_mode	0
TOP8c3411da	force	0
TOP8c3411da	kernel_accel	0
TOP8c3411da	kernel_loops	0
TOP8c3411da	nvidia_spin_damp	100
TOP8c3411da	gpu_temp_disable	0
TOP8c3411da	gpu_temp_abort	90
TOP8c3411da	gpu_temp_retain	75
TOP8c3411da	hash_mode	500
TOP8c3411da	hex_charset	0
TOP8c3411da	hex_salt	0
TOP8c3411da	hex_wordlist	0
TOP8c3411da	increment	0
TOP8c3411da	increment_max	54
TOP8c3411da	increment_min	1
TOP8c3411da	keyspace	0
TOP8c3411da	left	0
TOP8c3411da	logfile_disable	0
TOP8c3411da	loopback	0
TOP8c3411da	markov_classic	0
TOP8c3411da	markov_disable	0
TOP8c3411da	markov_threshold	0
TOP8c3411da	outfile_autohex	1
TOP8c3411da	outfile_check_timer	5
TOP8c3411da	outfile_format	3
TOP8c3411da	potfile_disable	0
TOP8c3411da	powertune_enable	0
TOP8c3411da	scrypt_tmto	0
TOP8c3411da	quiet	0
TOP8c3411da	remove	0
TOP8c3411da	remove_timer	60
TOP8c3411da	restore	0
TOP8c3411da	restore_disable	0
TOP8c3411da	restore_timer	60
TOP8c3411da	rp_gen	0
TOP8c3411da	rp_gen_func_max	4
TOP8c3411da	rp_gen_func_min	1
TOP8c3411da	rp_gen_seed	0
TOP8c3411da	runtime	0
TOP8c3411da	segment_size	32
TOP8c3411da	show	0
TOP8c3411da	status	1
TOP8c3411da	machine_readable	0
TOP8c3411da	status_timer	30
TOP8c3411da	usage	0
TOP8c3411da	username	0
TOP8c3411da	version	0
TOP8c3411da	weak_hash_threshold	100
TOP8c3411da	workload_profile	3
TOP8c3411da	limit	0
TOP8c3411da	skip	0
TOP8c3411da	separator	:
TOP8c3411da	opencl_device_types	2
TOP8c3411da	opencl_vector_width	0
TOP8c3411da	outfile	md5_cracked.txt
TOP8c3411da	rule_buf_l	:
TOP8c3411da	rule_buf_r	:
TOP8c3411da	session	hashcat
TOP8c3411da	veracrypt_pim	0
TOP8c3411da	target	md5crypt.txt
TOP8c3411da	hashlist_mode	4
TOP8c3411da	hashlist_format	0
TOP8c3411da	SUB69fb3a89	START
TOP8c3411da	SUB69fb3a89	dictfile	words
TOP8c3411da	SUB69fb3a89	status-after-work	6
TOP8c3411da	SUB69fb3a89	runtime_start	1474261915
TOP8c3411da	SUB69fb3a89	runtime_stop	1474261984
TOP8c3411da	SUB69fb3a89	STOP
TOP8c3411da	proc_start	1474261911
TOP8c3411da	proc_stop	1474261985
TOP8c3411da	STOP
